friend_count,group,mutual_friend_count,relationship_status,sex,vertex.names,NodeID
73,Family,37,Married,female,SE,1
53,GraduateSchool,3,Married,male,PH,2
363,GraduateSchool,3,Married,female,PD,3
64,GraduateSchool,4,,female,LN,4
19,Family,10,,female,MB,5
99,College,1,In a Relationship,female,AP,6
432,College,1,In a Relationship,male,SM,7
22,Work,3,,female,CB,8
153,Work,9,,male,TB2,9
63,Work,6,,male,RBW,10
298,Work,12,Married,female,NW,11
834,Family,26,Single,female,AL,12
143,Music,3,,male,DB,13
128,Music,4,,female,CWB,14
143,Music,8,,male,BS,15
363,Music,13,,female,AC,16
373,Music,6,,female,BW,17
79,Music,3,Married,male,DZM,18
42,Music,5,,male,KW,19
83,Work,3,,female,VST,20
,Work,12,,male,TM,21
604,Family,6,Single,male,CR,22
508,Family,23,Single,male,AAE,23
307,Family,6,Married,female,HRS,24
67,Family,7,,female,LRS,25
31,Family,19,,female,SL,26
236,College,2,,male,JJ,27
250,College,2,Married,male,TBC,28
191,College,2,,female,LE,29
405,Family,19,Married,female,BCL,30
271,Family,21,Married,female,SLL,31
80,GraduateSchool,1,,male,TNB,32
176,GraduateSchool,3,Single,female,MGE,33
97,GraduateSchool,4,Married,female,JLG,34
62,GraduateSchool,2,Married,male,DGT,35
63,Work,6,Married,female,DK,36
110,Work,6,Married,male,WT,37
122,Work,7,Married,male,DSW,38
115,Work,10,Married,male,ME,39
1316,Music,5,In a Relationship,male,MWB,40
224,Music,5,,female,BD,41
461,Music,4,In a Relationship,female,LL,42
95,Music,6,,male,BB,43
390,Music,7,Married,female,LSM,44
283,Music,7,,female,KM,45
201,Spiel,5,Married,male,SP,46
199,Spiel,5,Married,female,LCP,47
217,Spiel,5,Married,male,ADE,48
271,Spiel,5,,male,KH,49
304,Spiel,5,,female,ECS,50
322,Spiel,5,,male,KT,51
502,HighSchool,4,Married,female,GB,52
65,HighSchool,1,,female,RBH,53
15,HighSchool,1,,male,JU,54
97,HighSchool,2,Married,female,JZ,55
,Music,2,Married,male,DSM,56
123,Family,16,Married,male,BL,57
230,Family,14,,female,CG,58
231,Family,11,In a Relationship,female,CSH,59
282,Family,17,Married,female,GGA,60
491,Family,16,In a Relationship,male,ADL,61
141,Family,18,Married,male,DL,62
278,Family,13,,female,LBF,63
302,Family,18,In a Relationship,male,GL,64
78,Family,9,,female,CS,65
100,Family,14,Married,female,DSF,66
575,Family,16,,male,ALL,67
196,BookClub,6,Married,female,CW1,68
51,BookClub,6,,male,DZB,69
60,BookClub,6,,male,PW,70
131,BookClub,6,,female,ARL,71
109,BookClub,6,,female,LZ,72
,Music,4,,female,MBM,73
199,Work,8,Married,male,RW,74
,Work,2,Married,female,ECW,75
135,Work,12,Married,female,JK,76
746,Work,2,Married,female,ASS,77
492,Work,3,,female,SS1,78
130,Work,9,Married,female,SMH,79
171,Work,9,,male,TB1,80
303,Work,4,,male,DM,81
107,Work,2,,female,LBW,82
1188,Work,5,,male,MD,83
171,GraduateSchool,3,Married,male,TR,84
66,GraduateSchool,2,Married,female,DSG,85
113,GraduateSchool,3,Married,female,LRG,86
425,Work,2,,female,SS2,87
700,Music,5,In a Relationship,female,JLT,88
553,Family,15,In a Relationship,male,LSF,89
209,Family,7,Married,female,TSL,90
150,College,0,,female,LBC,91
175,College,0,Married,female,LLB,92
134,HighSchool,0,Married,female,DW,93
